ticker,sector,fiscal_year,cash_pct,receivables_pct,inventory_pct,dso,dio,dpo,ccc,revenue,cogs,cash,accounts_receivable,inventory,accounts_payable,current_assets,current_liabilities,total_assets
ANF,Fast Fashion / Apparel,2024,58.6,5.1,30.54,6.68,107.96,68.29,46.35,4280677000.0,1587265000.0,900884000.0,78346000.0,469466000.0,296976000.0,1537265000.0,966820000.0,2974233000.0
ANF,Fast Fashion / Apparel,2023,42.15,8.51,41.17,10.32,115.84,59.31,66.84,3697751000.0,1593213000.0,517602000.0,104506000.0,505621000.0,258895000.0,1228018000.0,902200000.0,2713100000.0
GAP,Fast Fashion / Apparel,2026,45.28,5.47,38.2,7.51,88.54,62.87,33.18,15366000000.0,9098000000.0,2616000000.0,316000000.0,2207000000.0,1567000000.0,5777000000.0,3300000000.0,12632000000.0
GAP,Fast Fashion / Apparel,2025,44.88,5.79,39.73,7.28,85.16,61.31,31.14,15086000000.0,8859000000.0,2335000000.0,301000000.0,2067000000.0,1488000000.0,5203000000.0,3256000000.0,11885000000.0
GAP,Fast Fashion / Apparel,2024,42.62,6.58,45.39,7.08,79.9,54.03,32.96,14889000000.0,9114000000.0,1873000000.0,289000000.0,1995000000.0,1349000000.0,4395000000.0,3096000000.0,11044000000.0
GAP,Fast Fashion / Apparel,2023,26.32,7.36,51.74,7.95,85.01,46.97,45.99,15616000000.0,10257000000.0,1215000000.0,340000000.0,2389000000.0,1320000000.0,4617000000.0,3256000000.0,11386000000.0
URBN,Fast Fashion / Apparel,2026,21.9,5.67,41.57,5.66,64.81,30.32,40.16,6165376000.0,3947623000.0,369206000.0,95668000.0,700945000.0,327903000.0,1686104000.0,1118094000.0,5007613000.0
URBN,Fast Fashion / Apparel,2025,19.46,4.96,41.61,4.87,62.56,29.79,37.64,5550666000.0,3623996000.0,290481000.0,74014000.0,621146000.0,295767000.0,1492796000.0,1075679000.0,4519480000.0
URBN,Fast Fashion / Apparel,2024,13.9,5.22,42.9,4.75,58.42,26.9,36.27,5153237000.0,3437833000.0,178321000.0,67008000.0,550242000.0,253342000.0,1282503000.0,994205000.0,4111209000.0
URBN,Fast Fashion / Apparel,2023,16.26,5.68,47.47,5.35,63.67,27.92,41.1,4795244000.0,3368028000.0,201260000.0,70339000.0,587510000.0,257620000.0,1237719000.0,890374000.0,3682912000.0
TJX,Fast Fashion / Apparel,2026,40.98,3.96,48.0,3.64,63.9,40.07,27.48,60372000000.0,41679000000.0,6230000000.0,602000000.0,7297000000.0,4575000000.0,15202000000.0,13361000000.0,35767000000.0
TJX,Fast Fashion / Apparel,2025,41.07,4.23,49.43,3.56,59.92,39.73,23.75,56360000000.0,39112000000.0,5335000000.0,549000000.0,6421000000.0,4257000000.0,12991000000.0,11008000000.0,31749000000.0
TJX,Fast Fashion / Apparel,2024,44.22,4.18,47.1,3.56,57.37,37.14,23.79,54217000000.0,37951000000.0,5600000000.0,529000000.0,5965000000.0,3862000000.0,12664000000.0,10451000000.0,29747000000.0
TJX,Fast Fashion / Apparel,2023,43.97,4.52,46.72,4.12,58.76,38.31,24.56,49936000000.0,36149000000.0,5477000000.0,563000000.0,5819000000.0,3794000000.0,12456000000.0,10305000000.0,28349000000.0
ROST,Fast Fashion / Apparel,2026,60.14,2.37,34.44,2.91,58.39,52.96,8.34,22750559000.0,16447256000.0,4594392000.0,181301000.0,2630970000.0,2386418000.0,7640097000.0,4827180000.0,15548737000.0
ROST,Fast Fashion / Apparel,2025,62.75,1.92,32.43,2.5,58.47,50.86,10.11,21129219000.0,15260506000.0,4730744000.0,144482000.0,2444513000.0,2126317000.0,7538696000.0,4661825000.0,14905332000.0
ROST,Fast Fashion / Apparel,2024,65.86,1.77,29.63,2.34,54.06,48.23,8.17,20376941000.0,14801601000.0,4872446000.0,130766000.0,2192220000.0,1955850000.0,7398138000.0,4185796000.0,14300109000.0
ROST,Fast Fashion / Apparel,2023,65.92,2.11,29.31,2.84,52.96,52.6,3.2,18695829000.0,13946230000.0,4551876000.0,145694000.0,2023495000.0,2009924000.0,6904719000.0,3636246000.0,13416463000.0
F,Automotriz,2025,18.91,52.25,12.38,125.77,30.06,50.76,105.07,187267000000.0,185587000000.0,23356000000.0,64528000000.0,15285000000.0,25809000000.0,123487000000.0,114890000000.0,289160000000.0
F,Automotriz,2024,18.43,53.48,12.01,131.35,32.2,51.96,111.59,184992000000.0,169486000000.0,22935000000.0,66573000000.0,14951000000.0,24128000000.0,124474000000.0,106859000000.0,285196000000.0
F,Automotriz,2023,20.47,51.06,12.88,128.49,35.7,59.28,104.91,176191000000.0,160031000000.0,24862000000.0,62026000000.0,15651000000.0,25992000000.0,121481000000.0,101531000000.0,273310000000.0
F,Automotriz,2022,21.58,46.75,12.09,125.74,36.48,66.33,95.88,158057000000.0,140893000000.0,25134000000.0,54449000000.0,14080000000.0,25605000000.0,116476000000.0,96866000000.0,255884000000.0
GM,Automotriz,2025,19.26,53.62,13.3,115.05,30.45,50.34,95.16,185019000000.0,173423000000.0,20945000000.0,58320000000.0,14467000000.0,23919000000.0,108767000000.0,93342000000.0,281284000000.0
GM,Automotriz,2024,18.31,54.53,13.42,115.26,32.41,57.14,90.52,187442000000.0,164037000000.0,19872000000.0,59189000000.0,14564000000.0,25680000000.0,108545000000.0,96265000000.0,279761000000.0
GM,Automotriz,2023,18.55,50.63,16.2,109.29,39.35,67.2,81.44,171842000000.0,152704000000.0,18853000000.0,51454000000.0,16461000000.0,28114000000.0,101618000000.0,94445000000.0,273064000000.0
GM,Automotriz,2022,19.07,46.75,15.3,109.35,41.31,73.9,76.76,156735000000.0,135754000000.0,19153000000.0,46956000000.0,15366000000.0,27486000000.0,100451000000.0,91173000000.0,264037000000.0
TSLA,Automotriz,2025,24.06,6.67,18.05,17.61,58.19,62.78,13.02,94827000000.0,77733000000.0,16513000000.0,4576000000.0,12392000000.0,13371000000.0,68642000000.0,31714000000.0,137806000000.0
TSLA,Automotriz,2024,27.65,7.57,20.59,16.51,54.66,56.74,14.43,97690000000.0,80240000000.0,16139000000.0,4418000000.0,12017000000.0,12474000000.0,58360000000.0,28821000000.0,122070000000.0
TSLA,Automotriz,2023,33.05,7.07,27.46,13.23,62.87,66.58,9.52,96773000000.0,79113000000.0,16398000000.0,3508000000.0,13626000000.0,14431000000.0,49616000000.0,28748000000.0,106618000000.0
TSLA,Automotriz,2022,39.72,7.21,31.38,13.23,77.32,91.87,-1.32,81462000000.0,60609000000.0,16253000000.0,2952000000.0,12839000000.0,15255000000.0,40917000000.0,26709000000.0,82338000000.0
AAPL,Tech Hardware,2025,24.29,26.88,3.86,34.89,9.45,115.4,-71.07,416161000000.0,220960000000.0,35934000000.0,39777000000.0,5718000000.0,69860000000.0,147957000000.0,165631000000.0,359241000000.0
AAPL,Tech Hardware,2024,19.57,21.84,4.76,31.19,12.64,119.66,-75.83,391035000000.0,210352000000.0,29943000000.0,33410000000.0,7286000000.0,68960000000.0,152987000000.0,176392000000.0,364980000000.0
